participant_id,theme_id,scenario_id,axis,modifier_text,mapped_modifier,method,score
P_F1_89578,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_89578,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_89578,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_11653,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_11653,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_11653,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_11653,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_11653,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_15314,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_15314,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_15314,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_15314,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_15314,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_22644,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_22644,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_22644,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_22644,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_22644,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_14689,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_14689,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_14689,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_14689,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_14689,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_54173,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_54173,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_54173,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_54173,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_54173,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_98667,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_98667,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_98667,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_98667,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_98667,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_11637,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_11637,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_11637,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_11637,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_11637,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_26750,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_26750,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_26750,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_26750,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_26750,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_92421,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_92421,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_92421,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_92421,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_92421,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_27981,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_27981,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_27981,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_27981,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_27981,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_50678,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_50678,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_50678,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_50678,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_50678,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_48933,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_48933,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_48933,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_48933,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_48933,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_58101,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_58101,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_58101,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_58101,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_58101,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_42602,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_42602,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_42602,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_42602,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_42602,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_73506,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_73506,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
