participant_id,model,kappa,n_modifiers
P_F2_91808,dotProduct,0.000,5
P_F2_91808,gemma4,0.000,5
P_F2_91808,llama_8B,0.000,5
P_F2_27136,dotProduct,0.000,5
P_F2_27136,gemma4,0.000,5
P_F2_27136,llama_8B,0.000,5
P_F2_89420,dotProduct,0.000,5
P_F2_89420,gemma4,0.000,5
P_F2_89420,llama_8B,0.000,5
P_F2_71634,dotProduct,0.000,5
P_F2_71634,gemma4,0.000,5
P_F2_71634,llama_8B,0.000,5
P_F2_27086,dotProduct,0.000,5
P_F2_27086,gemma4,0.000,5
P_F2_27086,llama_8B,0.000,5
P_F2_77219,dotProduct,0.000,5
P_F2_77219,gemma4,0.000,5
P_F2_77219,llama_8B,0.000,5
P_F2_24528,dotProduct,0.000,5
P_F2_24528,gemma4,0.000,5
P_F2_24528,llama_8B,0.000,5
P_F2_51230,dotProduct,0.000,5
P_F2_51230,gemma4,0.000,5
P_F2_51230,llama_8B,0.000,5
